Source;Target;Label;Highway;Length;Type
133;134;Rua Dom Manuel Correia Bastos Pina;residential;84.92;Undirected
134;135;Rua Dom Manuel Correia Bastos Pina;residential;60.81;Undirected
136;45;Rua André Gouveia;residential;209.55;Undirected
137;138;Rua da Saragoça;residential;33.52;Undirected
138;139;Rua da Saragoça;residential;38.15;Undirected
140;141;Avenida da Cidade Aeminium;tertiary;14.35;Undirected
142;143;UNAMED;secondary;57.85;Undirected
143;144;UNAMED;secondary;8.93;Undirected
144;145;UNAMED;secondary;6.9;Undirected
145;146;UNAMED;secondary;46.32;Undirected
147;148;Rua do Coelho da Rocha;residential;10.15;Undirected
20;149;Rua da Sofia;secondary;106.51;Undirected
55;150;Rua Nicolau Chanterenne;residential;90.11;Undirected
150;151;Rua Nicolau Chanterenne;residential;151.25;Undirected
151;152;Rua Nicolau Chanterenne;residential;128.02;Undirected
152;153;Rua Nicolau Chanterenne;residential;302.69;Undirected
153;89;Rua Nicolau Chanterenne;residential;25.89;Undirected
154;155;Rua Antero de Quental;residential;30.45;Undirected
155;119;Rua Antero de Quental;residential;148.9;Undirected
156;157;Rua Guerra Junqueiro;residential;278.26;Undirected
157;137;Rua Guerra Junqueiro;residential;132.42;Undirected
137;126;Rua da Saragoça;residential;138.7;Undirected
126;158;Rua da Saragoça;residential;138.5;Undirected
159;160;Rua Diogo Castilho;residential;97.3;Undirected
160;125;Rua Diogo Castilho;residential;15.9;Undirected
70;161;Largo Doutor José Rodrigues;residential;74.27;Undirected
162;17;Travessa da Ladeira do Seminário;residential;96.2;Undirected
9;50;Alameda Júlio Henriques;secondary;81.51;Undirected
50;37;Alameda Júlio Henriques;secondary;292.39;Undirected
163;11;Bairro de São José;secondary;72.89;Undirected
19;164;Rua dos Combatentes da Grande Guerra;secondary;38.32;Undirected
164;14;Rua dos Combatentes da Grande Guerra;secondary;53.46;Undirected
14;165;Rua dos Combatentes da Grande Guerra;secondary;300.17;Undirected
164;18;Bairro de São José;residential;45.02;Undirected
18;19;Bairro de São José;residential;15.8;Undirected
166;120;Rua Virgílio Correia;residential;218.66;Undirected
167;168;Rua do Loureiro;residential;19.24;Undirected
96;74;Largo do Marquês de Pombal;residential;131.66;Undirected
169;117;UNAMED;primary;54.89;Undirected
167;170;Rua dos Coutinhos;residential;104.17;Undirected
171;172;Couraça dos Apóstolos;residential;52.65;Undirected
172;173;Couraça dos Apóstolos;residential;45.77;Undirected
23;174;Rua Pedro Rocha;residential;34.39;Undirected
175;176;Rua José Falcão;residential;151.38;Undirected
29;177;Rua de Entre Muros;residential;61.88;Undirected
178;179;Rua Martins de Carvalho;residential;111.96;Undirected
179;180;Travessa Martins de Carvalho;residential;59.22;Undirected
168;181;Rua Doutor João Jacinto;residential;86.92;Undirected
181;173;Rua Doutor João Jacinto;residential;60.1;Undirected
182;183;Rua da Feitoria dos Linhos;residential;236.42;Undirected
184;185;Rua Costa Simões;secondary;534.9;Undirected
5;186;Avenida Marnoco e Sousa;residential;104.66;Undirected
187;188;Rua Augusto Filipe Simões;residential;3.83;Undirected
188;52;Rua Augusto Filipe Simões;residential;69.88;Undirected
52;49;Rua Augusto Filipe Simões;residential;123.42;Undirected
189;190;UNAMED;residential;30.34;Undirected
191;112;UNAMED;secondary;16.61;Undirected
112;192;Rua do Arnado;residential;156.14;Undirected
109;193;UNAMED;residential;60.38;Undirected
193;194;UNAMED;residential;5.38;Undirected
146;110;UNAMED;secondary;16.81;Undirected
195;196;Rua do Modesto;residential;94.17;Undirected
197;198;Rua dos Oleiros;residential;76.17;Undirected
198;199;Rua dos Oleiros;residential;24.34;Undirected
199;200;Rua dos Oleiros;residential;46.59;Undirected
201;81;UNAMED;residential;23.64;Undirected
202;203;Rua Machado de Castro;residential;16.94;Undirected
204;205;Estrada de Coselhas;residential;472.76;Undirected
206;207;UNAMED;secondary;274.54;Undirected
208;209;UNAMED;tertiary;202.22;Undirected
114;210;UNAMED;residential;53.52;Undirected
211;212;Rua do Carmo;residential;53.82;Undirected
212;213;Rua do Carmo;residential;51.94;Undirected
214;215;Rua do Carmo;residential;49.34;Undirected
216;217;UNAMED;residential;18.26;Undirected
212;218;Rua Pedro Olaio;residential;121.18;Undirected
218;219;Rua Pedro Olaio;residential;8.63;Undirected
220;221;Avenida da Lousã;secondary;573.02;Undirected
155;222;Rua Trindade Coelho;residential;254.12;Undirected
222;223;Rua Trindade Coelho;residential;56.46;Undirected
223;224;Rua Trindade Coelho;residential;48.24;Undirected
223;133;Rua João Porto;residential;87.77;Undirected
225;226;Rua Eça de Queiroz;residential;40.97;Undirected
134;222;Rua Tenente Campos Rêgo;residential;151.68;Undirected
158;227;Rua Doutor António de Vasconcelos;residential;194.66;Undirected
227;135;Rua Doutor António de Vasconcelos;residential;125.39;Undirected
87;228;UNAMED;residential;32.78;Undirected
139;229;Rua da Saragoça;residential;18.04;Undirected
