Id;Latitude;Longitude;Betweenness Centrality;Closeness Centrality
1;41.6912203;-8.8285781;2977;24.3805645147927
2;41.6910006;-8.8287374;2547;18.2455912819195
3;41.6908706;-8.8286286;55;15.2555724524175
4;41.6908402;-8.8283969;388;17.2467059257949
5;41.6913293;-8.8275235;1113;24.609963277724
6;41.6914508;-8.8276418;2340;20.4838656199435
7;41.6913601;-8.8280794;1105;20.3174906034454
8;41.6912608;-8.8284204;48;19.0651128551368
9;41.6914773;-8.8283551;1735;23.3077140886696
10;41.7024293;-8.8358159;1692;14.5098411100614
11;41.702623;-8.8354477;425;15.1005275109122
12;41.6966841;-8.83153;425;14.0481880373005
13;41.6962637;-8.8315793;0;12.2929035901954
14;41.6917084;-8.834761;1239;24.4648879280833
15;41.6923499;-8.8349587;1503;25.5981236023248
16;41.6926873;-8.8351046;2991;24.0535786013792
17;41.6927117;-8.8352336;2652;17.1254153798361
18;41.6907737;-8.836344;7495;28.2149976082079
19;41.6909311;-8.8347899;2146;27.2023390021259
20;41.6899012;-8.8398689;0;15.545553542658
21;41.6902517;-8.8384983;849;18.4323671479981
22;41.6920589;-8.8388388;1691;18.7620370462352
23;41.6918127;-8.8369577;4906;20.0391182063937
24;41.6899432;-8.8360438;2161;20.8399266735775
25;41.689271;-8.8354458;114;17.1502805264684
26;41.6892453;-8.8353477;953;22.384083790133
27;41.6908659;-8.8297298;1727;22.6247052603398
28;41.6910748;-8.828859;1778;16.5689891768473
29;41.6897248;-8.8145967;0;10.7427668202629
30;41.6956584;-8.8222054;0;10.7427668202629
31;41.6956845;-8.8205355;0;20.528412451036
32;41.6963575;-8.8205135;3761;24.0465239590162
33;41.6965395;-8.8204344;2939;24.7217095447773
34;41.7018676;-8.8181692;0;24.5133286619356
35;41.6956496;-8.8398338;4989;18.5682626074403
36;41.6957481;-8.8398616;0;11.1762451377388
37;41.6955704;-8.8380964;12955;18.5924282469283
38;41.6956394;-8.8386471;12842;20.9232087956577
39;41.6960405;-8.8389347;7086;26.2708501163329
40;41.6980714;-8.8403205;6921;28.2221567829426
41;41.6986612;-8.8396506;2109;23.939810278592
42;41.698835;-8.8389869;1377;23.1034408076536
43;41.6990983;-8.8383265;3139;24.832275464102
44;41.6971353;-8.8428815;1269;16.9518732770546
45;41.697472;-8.8419553;425;16.8377518866886
46;41.6966242;-8.8422261;2520;17.9459970838464
47;41.6928113;-8.8401476;0;6.47185047676479
48;41.693008;-8.8430915;7;10.2895094079203
49;41.6932896;-8.8472572;0;7.92242082501409
50;41.6954206;-8.838034;51;13.5791560096931
51;41.6952172;-8.8377483;383;14.9483898248494
52;41.6945824;-8.8371065;0;13.4523069555616
53;41.6947124;-8.837205;2416;19.7633880758849
