Source;Target;Label;Highway;Length;Type
153;154;Rua do Terreirinho;residential;88.49;Undirected
154;155;Rua do Terreirinho;residential;28.45;Undirected
156;157;Rua Duque de Palmela;residential;185.62;Undirected
85;158;Rua Mouzinho da Silveira;residential;88.04;Undirected
158;159;Rua Mouzinho da Silveira;residential;92.03;Undirected
160;161;Travessa do Salitre;residential;115.21;Undirected
59;162;Rua Garrett;residential;31.14;Undirected
162;163;Rua Garrett;residential;43.55;Undirected
163;164;Rua Garrett;residential;102.65;Undirected
165;166;Praça Dom João da Câmara;residential;14.47;Undirected
162;167;Calçada do Sacramento;residential;64.41;Undirected
167;168;Calçada do Sacramento;residential;40.0;Undirected
169;170;Rua do Alecrim;secondary;38.13;Undirected
171;172;Rua São Pedro de Alcántara;secondary;21.1;Undirected
172;173;Rua São Pedro de Alcántara;secondary;48.49;Undirected
173;174;Rua São Pedro de Alcántara;secondary;32.01;Undirected
174;175;Rua São Pedro de Alcántara;secondary;34.06;Undirected
175;176;Rua São Pedro de Alcántara;secondary;22.81;Undirected
176;177;Rua São Pedro de Alcántara;secondary;10.62;Undirected
177;178;Rua São Pedro de Alcántara;secondary;103.02;Undirected
178;179;Rua São Pedro de Alcántara;secondary;33.87;Undirected
64;180;Rua do Cardal de São José;residential;53.3;Undirected
180;181;Rua do Cardal de São José;residential;31.41;Undirected
181;182;Rua do Cardal de São José;residential;70.67;Undirected
182;183;Rua do Cardal de São José;residential;58.87;Undirected
183;184;Rua do Cardal de São José;residential;52.33;Undirected
185;180;Rua do Carrião;residential;119.66;Undirected
180;186;Rua do Carrião;residential;27.32;Undirected
187;181;Rua da Esperança do Cardal;residential;113.76;Undirected
188;182;Rua da Caridade;residential;83.93;Undirected
182;189;Rua da Caridade;residential;29.32;Undirected
183;190;Rua da Metade;residential;76.97;Undirected
191;184;Travessa Larga;residential;80.62;Undirected
184;192;Travessa Larga;residential;26.9;Undirected
193;194;Rua do Passadiço;residential;20.1;Undirected
194;195;Rua do Passadiço;residential;5.86;Undirected
195;196;Rua do Passadiço;residential;32.68;Undirected
196;197;Rua do Passadiço;residential;30.77;Undirected
197;191;Rua do Passadiço;residential;80.05;Undirected
191;190;Rua do Passadiço;residential;34.69;Undirected
190;188;Rua do Passadiço;residential;29.02;Undirected
188;187;Rua do Passadiço;residential;66.44;Undirected
187;185;Rua do Passadiço;residential;45.14;Undirected
185;198;Rua do Passadiço;residential;54.49;Undirected
197;199;Travessa do Loureiro;residential;115.65;Undirected
196;200;Travessa das Parreiras;residential;120.34;Undirected
195;201;Rua do Prior Coutinho;residential;127.63;Undirected
202;194;Travessa do Despacho;residential;125.52;Undirected
189;186;Rua de São José;residential;113.03;Undirected
186;65;Rua de São José;residential;46.71;Undirected
65;14;Rua de São José;residential;69.59;Undirected
14;203;Rua de São José;residential;164.05;Undirected
204;205;Calçada de Santo António;residential;81.23;Undirected
206;207;Rua dos Duques de Bragança;tertiary;95.46;Undirected
208;209;Largo do Chiado;tertiary;45.71;Undirected
210;211;Largo do Chiado;tertiary;25.24;Undirected
212;208;Largo do Chiado;residential;7.35;Undirected
213;214;Poço do Borratem;tertiary;58.43;Undirected
215;216;Praça Dom João da Câmara;primary;52.24;Undirected
217;218;Rua da Palma;secondary;46.27;Undirected
219;47;Praça da Figueira;secondary;80.21;Undirected
47;213;Rua Condes de Monsanto;secondary;44.26;Undirected
220;221;Rua António Maria Cardoso;tertiary;275.61;Undirected
222;223;Rua da Misericórdia;secondary;11.63;Undirected
223;224;Rua da Misericórdia;secondary;16.41;Undirected
224;225;Rua da Misericórdia;secondary;21.44;Undirected
221;226;Rua Victor Cordon;tertiary;54.99;Undirected
226;227;Rua Victor Cordon;tertiary;65.52;Undirected
227;228;Rua Victor Cordon;tertiary;18.57;Undirected
228;229;Rua Victor Cordon;tertiary;91.18;Undirected
226;230;Rua dos Duques de Bragança;residential;15.79;Undirected
231;232;Praça do Duque da Terceira;primary;19.11;Undirected
233;227;Rua Serpa Pinto;residential;191.98;Undirected
163;234;Rua Ivens;residential;128.14;Undirected
234;233;Rua Capelo;residential;118.8;Undirected
235;236;Largo Rafael Bordalo Pinheiro;residential;61.23;Undirected
237;235;Rua da Trindade;residential;69.41;Undirected
238;239;Avenida 24 de Julho;primary;55.52;Undirected
239;240;Avenida 24 de Julho;primary;40.22;Undirected
241;242;Avenida da Ribeira das Naus;primary;15.37;Undirected
242;243;Avenida da Ribeira das Naus;primary;35.99;Undirected
244;158;Rua Rosa Araújo;residential;144.55;Undirected
158;245;Rua Rosa Araújo;residential;81.82;Undirected
246;247;Rua Júlio César Machado;residential;86.56;Undirected
247;248;Rua Júlio César Machado;residential;35.77;Undirected
232;249;Praça do Duque da Terceira;secondary;41.61;Undirected
250;251;Largo do Mitelo;tertiary;29.06;Undirected
21;252;Campo dos Mártires da Pátria;tertiary;9.35;Undirected
252;253;Campo dos Mártires da Pátria;tertiary;47.13;Undirected
254;255;Rua dos Bacalhoeiros;residential;30.09;Undirected
255;256;Rua dos Bacalhoeiros;residential;40.77;Undirected
257;258;UNAMED;residential;56.43;Undirected
259;260;Travessa do Corpo Santo;residential;48.2;Undirected
261;262;Rua dos Remolares;tertiary;44.57;Undirected
262;263;Rua dos Remolares;tertiary;51.44;Undirected
48;56;Rua da Conceição;tertiary;35.59;Undirected
56;264;Rua da Conceição;tertiary;29.16;Undirected
265;266;Rua de São Mamede;residential;13.5;Undirected
267;268;Rua da Padaria;residential;52.58;Undirected
